Compound_CID,Compound,Formula,Molecular_Weight,CAS No.,External Link to ChEMBL,Source_Chemical,Source_Chemical_URL
100067,Syringaresinol,C₂₂H₂₆O₈,418.163,,,Syringaresinol,https://www.wikidata.org/wiki/Q27121534
10030799,Dendronobiloside A,,564.31,,,NPC50146,https://bidd.group/NPASS/compound.php?compoundID=NPC50146
100332,Loliolide,,196.11,,,Loliolide,https://bidd.group/NPASS/compound.php?compoundID=NPC80471
101063872,"(1S,4S,7S,8S,11R,12R,13S)-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecane-3,9-dione",C₁₆H₂₃NO₃,277.167793596,,,Mubironine A,https://www.wikidata.org/wiki/Q105185308
101063873,"methyl (4S,7S,8R,9S,10R,11R)-10-hydroxy-2,11-dimethyl-9-propan-2-yl-2-azatricyclo[5.3.1.04,11]undecane-8-carboxylate",C₁₇H₂₉NO₃,295.214743788,,,Mubironine C,https://www.wikidata.org/wiki/Q105270901
10108163,3-O-Methylgigantol,C17H20O4,288.33829,135545-84-5,CHEMBL525620,3-O-Methylgigantol,https://www.wikidata.org/wiki/Q105147374
10108607,Flakinin B,C₁₆H₂₄O₅,296.162373868,,,Flakinin B,https://www.wikidata.org/wiki/Q110187902
101219070,"(1S,2S,5S,6S,7R,8S,11R)-7-hydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₂₁H₃₄O₉,430.220282668,,,Dendroside F,https://www.wikidata.org/wiki/Q105126304
101219071,"(1S,2S,5S,6S,7R,8R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₂₁H₃₄O₁₀,446.215197288,,,Dendroside G,https://www.wikidata.org/wiki/Q105308792
101316879,"(1S,3R,5S,8S,9R,12R,13S,14R)-14-hydroxy-13-methyl-14-propan-2-yl-4,7,10-trioxapentacyclo[6.4.1.19,12.03,5.05,13]tetradecane-6,11-dione",,294.11,,,NPC245898,https://bidd.group/NPASS/compound.php?compoundID=NPC245898
10168,Rhein,,284.03,,,Rhein,https://bidd.group/NPASS/compound.php?compoundID=NPC288089
102026936,"8-[(5-Hydroxy-7-methoxy-9,10-dihydrophenanthren-2-yl)oxy]-6-methoxy-9,10-dihydrophenanthrene-2,5-diol",,482.17,,,NPC218604,https://bidd.group/NPASS/compound.php?compoundID=NPC218604
10221179,"3',4-Dihydroxy-3,5'-dimethoxybibenzyl",,274.12,,,Gigantol,https://bidd.group/NPASS/compound.php?compoundID=NPC117214
102477413,Phochinenin G,,482.17,,,NPC212048,https://bidd.group/NPASS/compound.php?compoundID=NPC212048
10341857,Dendroside A,C₂₁H₃₆O₈,416.241018112,,,"(2R,3R,4S,5S,6R)-2-[[(1R,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q105166804
10401022,Erianthridin,,272.1,,,Erianthridin,https://bidd.group/NPASS/compound.php?compoundID=NPC108198
10423984,Denbinobin,C16H12O5,284.06847349,,,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00033759
