Compound_CID,Compound,Source_Chemical,Source_Chemical_URL,Molecular_Weight,Formula
176096,Dendrophenol,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015530,304.13107375,C17H20O5
442702,"7-Methoxy-9,10-dihydrophenanthrene-2,5-diol",,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00002941,242.09429431,C15H14O3
3085362,Gigantol,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00030387,274.12050906,C16H18O4
3086528,Chrysotobibenzyl,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015296,332.16237388,C19H24O5
5315860,"Phenol, 4-[2-(3,4-dimethoxyphenyl)ethyl]-2,6-dimethoxy-",,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00038758,318.14672381,C18H22O5
10423984,Denbinobin,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00033759,284.06847349,C16H12O5
10466989,batatasin III,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015292,244.10994438,C15H16O3
14188392,"1,2,5-Trihydroxy-7-methoxyfluoren-9-one",,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00038966,258.05282343,C14H10O5
14353469,Crepidatin,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015551,318.14672381,C18H22O5
16104871,Nobilone,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00039862,242.05790881,C14H10O4
44418770,"3-Methoxy-5-[2-(3-methoxyphenyl)ethyl]benzene-1,2-diol",,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015314,274.12050906,C16H18O4
72,"3,4-Dihydroxybenzoic acid","3,4-Dihydroxybenzoic acid",https://www.wikidata.org/wiki/Q418599,154.027,C₇H₆O₄
932,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one","5,7-Dihydroxy-2-(4-Hydroxyphenyl)-2,3-Dihydrochromen-4-One",https://bidd.group/NPASS/compound.php?compoundID=NPC79943,272.07,
985,Palmitic Acid,Palmitic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC216630,256.24,
5988,Sucrose,Sucrose,https://bidd.group/NPASS/compound.php?compoundID=NPC130683,342.12,
6029,Uridine,Uridine,https://bidd.group/NPASS/compound.php?compoundID=NPC43246,244.07,
6802,,Guanosine,https://bidd.group/NPASS/compound.php?compoundID=NPC61198,283.09,
7121,Veratric Acid,Veratric Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC285776,182.06,
8417,Scoparone,Scoparone,https://bidd.group/NPASS/compound.php?compoundID=NPC240722,206.06,
8468,Vanillic Acid,Vanillic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC111888,168.04,
10168,Rhein,Rhein,https://bidd.group/NPASS/compound.php?compoundID=NPC288089,284.03,
10465,Heptadecanoic acid,Heptadecanoic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC196924,270.26,
10639,Physcione,Physcion,https://bidd.group/NPASS/compound.php?compoundID=NPC312929,284.07,
10742,Syringic acid,Syringic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC110899,198.05,
12410,Hentriacontane,Hentriacontane,https://bidd.group/NPASS/compound.php?compoundID=NPC26229,436.5,
16522,"Methyl 3,4-Dimethoxybenzoate",Veratric Acid Methyl Ester,https://bidd.group/NPASS/compound.php?compoundID=NPC154275,196.07,
60961,Adenosine,Adenosine,https://bidd.group/NPASS/compound.php?compoundID=NPC156461,267.1,
73665,Prochloraz,Prochloraz,https://www.wikidata.org/wiki/Q1401484,375.031,C₁₅H₁₆Cl₃N₃O₂
86821,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",NPC290613,https://bidd.group/NPASS/compound.php?compoundID=NPC290613,414.39,
100067,Syringaresinol,Syringaresinol,https://www.wikidata.org/wiki/Q27121534,418.163,C₂₂H₂₆O₈
100332,Loliolide,Loliolide,https://bidd.group/NPASS/compound.php?compoundID=NPC80471,196.11,
107036,"Glycerides, C14-26",NPC115835,https://bidd.group/NPASS/compound.php?compoundID=NPC115835,344.29,
127377,"5,6-Epoxy-1-hydroxy-6-isopropyl-3,11-dimethyl-3-azatricyclo(6.2.1.04(5,11))undecan-2-one",NPC74576,https://bidd.group/NPASS/compound.php?compoundID=NPC74576,293.16,
158975,"2,7-Phenanthrenediol, 3,4-dimethoxy-",Nudol,https://bidd.group/NPASS/compound.php?compoundID=NPC230919,270.09,
185914,Dihydroresveratrol,Dihydroresveratrol,https://bidd.group/NPASS/compound.php?compoundID=NPC30506,230.09,
194774,Moscatin,Moscatin,https://bidd.group/NPASS/compound.php?compoundID=NPC38017,240.08,
222284,Beta-Sitosterol,Beta-Sitosterol,https://bidd.group/NPASS/compound.php?compoundID=NPC230301,414.39,
237332,5-Hydroxymethylfurfural,5-Hydroxymethyl-Furfural,https://bidd.group/NPASS/compound.php?compoundID=NPC107482,486.26,
296119,beta-Sitosterol 3-O-beta-D-galactopyranoside,beta-Sitosterol 3-O-beta-D-galactopyranoside,https://www.wikidata.org/wiki/Q104415326,576.43898964,C₃₅H₆₀O₆
332426,(-) Syringaresinol,NPC165159,https://bidd.group/NPASS/compound.php?compoundID=NPC165159,504.27,
355017,From Dendrobium nobile,NPC171351,https://bidd.group/NPASS/compound.php?compoundID=NPC171351,263.19,
356759,"2-Methoxy-5-[2-(3,4,5-trimethoxyphenyl)ethyl]phenol","2-Methoxy-5-(3,4,5-Trimethoxyphenethyl)Phenol",https://bidd.group/NPASS/compound.php?compoundID=NPC298757,318.15,
439246,Naringenin,Naringenin,https://bidd.group/NPASS/compound.php?compoundID=NPC32441,272.07,
442088,Evodiamine,NPC141612,https://bidd.group/NPASS/compound.php?compoundID=NPC141612,303.14,
