id,Compound_CID,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Kind,Source_ID,Source,Source_URL,Source_Part,Taxonomy_ID,Source_Organism_ID,Source_Organism,Source_Organism_URL,Taxonomy,Evidence_IDs,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,pmcids,pclids,References
590472,176096,KNApSAcK Species-Metabolite Database,Dendrophenol,C00015530,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015530,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,DOI:10.1021/np060449r,https://doi.org/10.1021/np060449r,"",10.1021/np060449r,"",3063596,"Zhang X, Xu JK, Wang J, Wang NL, Kurihara H, Kitanaka S, Yao XS. Bioactive bibenzyl derivatives and fluorenones from Dendrobium nobile. J Nat Prod. 2007 Jan;70(1):24–8. doi: 10.1021/np060449r. PMID: 17253844."
691716,442702,KNApSAcK Species-Metabolite Database,"7-Methoxy-9,10-dihydrophenanthrene-2,5-diol",C00002941,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00002941,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,"","","","","","",""
969279,3085362,KNApSAcK Species-Metabolite Database,Gigantol,C00030387,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00030387,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,DOI:10.1021/np060449r,https://doi.org/10.1021/np060449r,"",10.1021/np060449r,"",3063596,"Zhang X, Xu JK, Wang J, Wang NL, Kurihara H, Kitanaka S, Yao XS. Bioactive bibenzyl derivatives and fluorenones from Dendrobium nobile. J Nat Prod. 2007 Jan;70(1):24–8. doi: 10.1021/np060449r. PMID: 17253844."
818278,3086528,KNApSAcK Species-Metabolite Database,Chrysotobibenzyl,C00015296,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015296,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,DOI:10.1021/np060449r,https://doi.org/10.1021/np060449r,"",10.1021/np060449r,"",3063596,"Zhang X, Xu JK, Wang J, Wang NL, Kurihara H, Kitanaka S, Yao XS. Bioactive bibenzyl derivatives and fluorenones from Dendrobium nobile. J Nat Prod. 2007 Jan;70(1):24–8. doi: 10.1021/np060449r. PMID: 17253844."
987378,5315860,KNApSAcK Species-Metabolite Database,"Phenol, 4-[2-(3,4-dimethoxyphenyl)ethyl]-2,6-dimethoxy-",C00038758,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00038758,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,DOI:10.1021/np060449r,https://doi.org/10.1021/np060449r,"",10.1021/np060449r,"",3063596,"Zhang X, Xu JK, Wang J, Wang NL, Kurihara H, Kitanaka S, Yao XS. Bioactive bibenzyl derivatives and fluorenones from Dendrobium nobile. J Nat Prod. 2007 Jan;70(1):24–8. doi: 10.1021/np060449r. PMID: 17253844."
1314248,10423984,KNApSAcK Species-Metabolite Database,Denbinobin,C00033759,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00033759,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,"","","","","","",""
1301762,10466989,KNApSAcK Species-Metabolite Database,batatasin III,C00015292,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015292,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,DOI:10.1016/0031-9422(89)80273-0,https://doi.org/10.1016/0031-9422(89)80273-0,"",10.1016/0031-9422(89)80273-0,"",612670618,"Veerraju P, Rao NSP, Rao LJ, Rao KVJ, Rao RM. Bibenzyls and phenanthrenoids of some species of orchidaceae. Phytochemistry. 1989 Jan;28(11):3031–4. doi: 10.1016/0031-9422(89)80273-0."
1441468,14188392,KNApSAcK Species-Metabolite Database,"1,2,5-Trihydroxy-7-methoxyfluoren-9-one",C00038966,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00038966,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,DOI:10.1021/np060449r,https://doi.org/10.1021/np060449r,"",10.1021/np060449r,"",3063596,"Zhang X, Xu JK, Wang J, Wang NL, Kurihara H, Kitanaka S, Yao XS. Bioactive bibenzyl derivatives and fluorenones from Dendrobium nobile. J Nat Prod. 2007 Jan;70(1):24–8. doi: 10.1021/np060449r. PMID: 17253844."
1449336,14353469,KNApSAcK Species-Metabolite Database,Crepidatin,C00015551,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015551,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,DOI:10.1021/np060449r,https://doi.org/10.1021/np060449r,"",10.1021/np060449r,"",3063596,"Zhang X, Xu JK, Wang J, Wang NL, Kurihara H, Kitanaka S, Yao XS. Bioactive bibenzyl derivatives and fluorenones from Dendrobium nobile. J Nat Prod. 2007 Jan;70(1):24–8. doi: 10.1021/np060449r. PMID: 17253844."
1496400,16104871,KNApSAcK Species-Metabolite Database,Nobilone,C00039862,"",http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00039862,Metabolite,"","","","",94219,Dendrobium nobile,Dendrobium nobile,http://www.knapsackfamily.com/knapsack_core/info.php?sname=organism&word=Dendrobium nobile,Dendrobium nobile,DOI:10.1021/np060449r,https://doi.org/10.1021/np060449r,"",10.1021/np060449r,"",3063596,"Zhang X, Xu JK, Wang J, Wang NL, Kurihara H, Kitanaka S, Yao XS. Bioactive bibenzyl derivatives and fluorenones from Dendrobium nobile. J Nat Prod. 2007 Jan;70(1):24–8. doi: 10.1021/np060449r. PMID: 17253844."
