id,Compound_CID,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Kind,Source_ID,Source,Source_URL,Source_Part,Taxonomy_ID,Source_Organism_ID,Source_Organism,Source_Organism_URL,Taxonomy,Evidence_IDs,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,pmcids,pclids,References
3706,72,LOTUS - the natural products occurrence database,"3,4-Dihydroxybenzoic acid",Q418599,"3,4-Dihydroxybenzoic acid",https://www.wikidata.org/wiki/Q418599,Natural Product,"","","","",94219,Q636713,Dendrobium nobile,https://www.wikidata.org/wiki/Q636713,Dendrobium nobile,DOI:10.1055/S-2002-33786,https://doi.org/10.1055/S-2002-33786,"",10.1055/S-2002-33786,"",6417918,"Ye Q, Zhao W. New alloaromadendrane, cadinene and cyclocopacamphane type sesquiterpene derivatives and bibenzyls from Dendrobium nobile. Planta Med. 2002 Aug;68(8):723–9. doi: 10.1055/s-2002-33786. PMID: 12221596."
56981,72,Natural Product Activity and Species Source (NPASS),"3,4-Dihydroxybenzoic acid",NPC156654,Protocatechuic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC156654,Natural Product,"","","","",94219,NPO3894,Dendrobium nobile,https://bidd.group/NPASS/organism.php?org_id=NPO3894,Dendrobium nobile,"","","","","","",""
65384,72,Natural Product Activity and Species Source (NPASS),"3,4-Dihydroxybenzoic acid",NPC156654,Protocatechuic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC156654,Natural Product,"","","","",94219,NPO3894,Dendrobium nobile,https://bidd.group/NPASS/organism.php?org_id=NPO3894,Dendrobium nobile,"","","","","","",""
148088,932,Natural Product Activity and Species Source (NPASS),"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",NPC79943,"5,7-Dihydroxy-2-(4-Hydroxyphenyl)-2,3-Dihydrochromen-4-One",https://bidd.group/NPASS/compound.php?compoundID=NPC79943,Natural Product,"","","","",94219,NPO3894,Dendrobium nobile,https://bidd.group/NPASS/organism.php?org_id=NPO3894,Dendrobium nobile,"","","","","","",""
152608,932,LOTUS - the natural products occurrence database,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",Q57826857,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",https://www.wikidata.org/wiki/Q57826857,Natural Product,"","","","",94219,Q636713,Dendrobium nobile,https://www.wikidata.org/wiki/Q636713,Dendrobium nobile,DOI:10.1016/S0031-9422(01)00168-6,https://doi.org/10.1016/S0031-9422(01)00168-6,"",10.1016/S0031-9422(01)00168-6,"",26713629,"Fan C, Wang W, Wang Y, Qin G, Zhao W. Chemical constituents from Dendrobium densiflorum. Phytochemistry. 2001 Aug;57(8):1255–8. doi: 10.1016/s0031-9422(01)00168-6. PMID: 11454354."
202082,985,Natural Product Activity and Species Source (NPASS),Palmitic Acid,NPC216630,Palmitic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC216630,Natural Product,"","","","",94219,NPO3894,Dendrobium nobile,https://bidd.group/NPASS/organism.php?org_id=NPO3894,Dendrobium nobile,"","","","","","",""
308206,5988,Natural Product Activity and Species Source (NPASS),Sucrose,NPC130683,Sucrose,https://bidd.group/NPASS/compound.php?compoundID=NPC130683,Natural Product,"","","","",94219,NPO3894,Dendrobium nobile,https://bidd.group/NPASS/organism.php?org_id=NPO3894,Dendrobium nobile,"","","","","","",""
228786,6029,Natural Product Activity and Species Source (NPASS),Uridine,NPC43246,Uridine,https://bidd.group/NPASS/compound.php?compoundID=NPC43246,Natural Product,"","","","",94219,NPO3894,Dendrobium nobile,https://bidd.group/NPASS/organism.php?org_id=NPO3894,Dendrobium nobile,"","","","","","",""
379235,6802,Natural Product Activity and Species Source (NPASS),"",NPC61198,Guanosine,https://bidd.group/NPASS/compound.php?compoundID=NPC61198,Natural Product,"","","","",94219,NPO3894,Dendrobium nobile,https://bidd.group/NPASS/organism.php?org_id=NPO3894,Dendrobium nobile,"","","","","","",""
351741,7121,Natural Product Activity and Species Source (NPASS),Veratric Acid,NPC285776,Veratric Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC285776,Natural Product,"","","","",94219,NPO3894,Dendrobium nobile,https://bidd.group/NPASS/organism.php?org_id=NPO3894,Dendrobium nobile,"","","","","","",""
